properties/id;properties/nom;properties/desserte;properties/pmr;properties/ascenseur;properties/escalator;properties/gid;properties/last_update;properties/last_update_fme;geometry/type;geometry/coordinates/0;geometry/coordinates/1
92;Avenue de l'Industrie;76A:A;true;false;false;857;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.68042320773948;4.922312026617804
93;Avenue de l'Industrie;76A:R;true;false;false;856;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.67993771541376;4.921505906436699
94;Avenue de la Paix;5A:A,86A:A;true;false;false;859;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.78558180804084;4.748590097089035
95;Avenue de la Paix;5A:R,86A:R,GE6A:A;true;false;false;858;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.78484235204912;4.748884955468602
96;Avignon;93A:R;true;false;false;860;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.69186363683018;4.857100159373121
97;Avignon;93A:A;true;false;false;861;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.691524926319744;4.857752539670995
98;Ayasse - Yves Farge;34A:A,C7B:A;true;false;false;9387;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.73547622762371;4.827341942461014
99;Ayasse - Yves Farge;34A:R,C7B:R;true;false;false;863;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.73599226060744;4.827946171879358
101;Genas - Jean Mermoz;28A:R,48B:A;false;false;false;5425;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.74196308994281;5.022487034696982
106;Bachut - Mairie du 8ème;C25B:A,PL2A:A,T36:A;true;false;false;390;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.73708724059313;4.868618347820176
108;Badel;72C:A;true;false;false;865;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.77090659997592;4.702769807361849
109;Badel;72C:R;true;false;false;864;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.77079460965434;4.70244190523209
111;Balmont Bas;S11A:A;true;false;false;867;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.78355399693185;4.800951782475803
116;Baraillon;142A:A,5A:A,98G:A;true;false;false;868;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.76420731425871;4.759754602282634
117;Baraillon;142A:R,5A:R,72C:R,98G:R;true;false;false;869;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.764113230907356;4.759943364126277
118;Barbesi;60A:R;true;false;false;870;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.66815454516335;4.864552457270732
122;Bas des Chassagnes;17B:A,63A:A,C10A:A,C7B:A;true;false;false;873;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.72088556134389;4.811012423912346
123;Bas des Chassagnes;17B:R,63A:R,C10A:R,C7B:R;true;false;false;874;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.720436076358695;4.811023449487079
124;Barolles Centre;12B:R,17B:A,78B:A,78B:R,C10A:A;true;false;false;875;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.68053503438404;4.785441858512064
